dataset,simecek/HumanRedoneDNADeberta,simecek/MouseDNADeberta,simecek/ZebrafishDNADeberta,simecek/FruitflyDNADeberta,simecek/WormDNADeberta,simecek/ArabidopsisDNADeberta,simecek/DNADebertaSmall
simecek/Human_DNA_v0_DNABert6tokenized,7.245747089385986,7.302046298980713,7.334394454956055,7.384777545928955,7.438027381896973,7.345582008361816,6.135972499847412
davidcechak/Mouse_DNA_v0_DNABert6tokenized,7.309451580047607,7.276564121246338,7.339879512786865,7.398280620574951,7.462935924530029,7.350376605987549,6.9782795906066895
davidcechak/Zebrafish_DNA_v0_DNABert6tokenized,7.325279712677002,7.3122076988220215,7.250858783721924,7.268256187438965,7.363481044769287,7.284417152404785,7.106800556182861
davidcechak/Fruitfly_DNA_v0_DNABert6tokenized,7.542044162750244,7.533913612365723,7.4960832595825195,7.336008071899414,7.504519939422607,7.467253684997559,7.413302898406982
davidcechak/Worm_DNA_v0_DNABert6tokenized,7.359205722808838,7.353073596954346,7.320830345153809,7.240468978881836,7.2142767906188965,7.270549774169922,7.292906761169434
davidcechak/Arabidopsis_thaliana_DNA_v0_DNABert6tokenized,7.402441501617432,7.394493579864502,7.376944541931152,7.319701194763184,7.360411167144775,7.2427191734313965,7.3131208419799805
